Address,Cost,Cost/mon,Rent,Net/mon,Yrs to own
"176 Ellers Grv, Colorado Springs, CO 80916",265000,1868,1400,807,11.821912919343326
"411 Lakewood Cir APT A-1004, Colorado Springs, CO 80910",235000,1700,1300,775,11.519607843137257
